index,nrel,Ll,Lw,Gl,Gd,El,Ed,phi0,shape
111,1,0.611,1.3901,16.35,0.891368651,17.3,0.42878,37.363,0.73
307,0.14286,6.6902,0.31687,2.8615,0.27547,0,0,65.473,0.77
307,0.28571,9.8466,0.43081,3.82,0.35093,0,0,45.494,0.74
307,0.42857,11.922,0.50548,5.3286,0.4264,0,0,28.652,0.76
307,0.57143,8.27,0.66289,8.6,0.636272522,2,0.33513,17.324,0.78
307,0.71429,2.099,0.90422,11.586,0.897682656,4.58,0.38423,26.726,0.79
307,0.85714,0.454,1.1221,12.8,1.060687371,9,0.395,39.759,0.79
307,1,0.546,1.3829,16.95,0.894234196,16,0.38428,37.363,0.73
308,0.125,5.7831,0.31,2.5,0.2,0,0,65.473,0.76
308,0.25,8.5494,0.34185,3.6,0.27547,0,0,65.473,0.77
308,0.375,11.377,0.51758,4.2,0.35093,0,0,45.494,0.74
308,0.5,15.041,0.6285,7.8429,0.4264,0,0,28.652,0.76
308,0.625,8.022,0.88633,10.773,0.727117926,3.8143,0.33513,17.324,0.78
308,0.75,2.807,1.0256,11.691,0.985773201,6.7818,0.38423,26.726,0.79
308,0.875,0.537,1.1911,12.744,1.083349092,10.68,0.395,39.759,0.79
308,1,0.48,1.3414,15.46,0.832015424,15.78,0.38428,37.363,0.73
406,0.16667,8.573,0.36015,3.3762,0.35646,0,0,45.494,0.74
406,0.33333,11.861,0.5073,4.7833,0.41293,0,0,28.652,0.76
406,0.5,8.973,0.69513,8.9364,0.598931233,3.1333,0.31547,17.324,0.78
406,0.66667,2.112,0.92351,12.833,0.843105682,5.15,0.35797,26.726,0.79
406,0.83333,0.524,1.1425,13.8,1.046949204,9.45,0.36935,39.759,0.79
406,1,0.452,1.5989,17.3,0.997216435,16.3,0.3715,37.363,0.73
407,0.14286,8.9911,0.36144,3.65,0.25,0,0,65.473,0.77
407,0.28571,11.904,0.49861,5.1714,0.35646,0,0,45.494,0.74
407,0.42857,14.004,0.63638,6.3364,0.41293,0,0,28.652,0.76
407,0.57143,8.108,0.82493,10.743,0.653681078,2.2714,0.31547,17.324,0.78
407,0.71429,2.189,1.0974,11.992,0.978997531,6.0417,0.35797,26.726,0.79
407,0.85714,0.727,1.2653,13.558,1.079775159,9.5083,0.36935,39.759,0.79
407,1,0.996,1.4649,16.567,0.889939928,14.95,0.3715,37.363,0.73
506,0.16667,9.4645,0.34748,4.052,0.3,0,0,45.494,0.74
506,0.33333,12.788,0.52256,6.6474,0.36419,0,0,28.652,0.76
506,0.5,7.452,0.74949,10.504,0.607889925,1.7714,0.283,17.324,0.78
506,0.66667,2.424,1.012,12.194,0.867834691,5.6,0.311,26.726,0.79
506,0.83333,0.47,1.2356,13.531,1.022303576,9.8692,0.31275,39.759,0.79
506,1,0.784,1.5228,16.86,0.855685937,16.178,0.30056,37.363,0.73
507,0.14286,7.1352,0.36056,3,0.25,0,0,65.473,0.77
507,0.28571,9.0181,0.36467,3.7,0.3321,0,0,45.494,0.74
507,0.42857,13.848,0.53625,7.05,0.36419,0,0,28.652,0.76
507,0.57143,8.746,0.87919,10.475,0.638722773,2.9,0.283,17.324,0.78
507,0.71429,2.322,1.074,12.65,0.918815084,7.3667,0.311,26.726,0.79
507,0.85714,0.654,1.226,13.333,1.037470161,13.5,0.31275,39.759,0.79
507,1,0.924,1.4575,15.7,0.791873787,16.75,0.30056,37.363,0.73
605,0.2,6.6549,0.26785,4.4667,0.35419,0,0,28.652,0.76
605,0.4,15.595,0.61046,7.3,0.423,0,0,17.324,0.78
605,0.6,4.978,0.85045,10.05,0.762119795,2,0.291,26.726,0.79
605,0.8,1.435,1.0974,13.1,0.92500347,9.6,0.29275,39.759,0.79
605,1,0.462,1.5496,17.6,0.850588649,13.4,0.28056,37.363,0.73
606,0.16667,6,0.4,4,0.29,0,0,45.494,0.74
606,0.33333,8.0652,0.48221,9.2,0.35419,0,0,28.652,0.76
606,0.5,5.663,0.92104,11,0.628229349,4.15,0.273,17.324,0.78
606,0.66667,2.397,1.1069,11.4,0.926978343,6.85,0.301,26.726,0.79
606,0.83333,0.955,1.2891,13.6,0.940638584,11.9,0.30275,39.759,0.79
606,1,0.511,1.4595,16.533,0.732665587,14.767,0.29056,37.363,0.73
705,0.2,6.6549,0.26785,4.4667,0.35419,0,0,28.652,0.76
705,0.4,15.595,0.61046,7.3,0.423,0,0,17.324,0.78
705,0.6,4.978,0.85045,10.05,0.762119795,2,0.291,26.726,0.79
705,0.8,0.935,1.0974,13.1,0.935269849,9.6,0.29275,39.759,0.79
705,1,0.462,1.5496,17.6,0.850588649,13.4,0.28056,37.363,0.73
